,bibkey,type,title,authors,ss_id,all_ss_ids,comment,year
354,Gees19,article,Computer aided quantification of intratumoral stroma yields an independent prognosticator in rectal cancer,"Geessink, Oscar and Baidoshvili, Alexi and Klaase, Joost and Ehteshami Bejnordi, Babak and Litjens, Geert and van Pelt, Gabi and Mesker, Wilma and Nagtegaal, Iris and Ciompi, Francesco and van der Laak, Jeroen",c7ce6b90707871b922aca4cb6a8b16625980788b,"['2d7797e69a35b5ffe021a2762ef251764562dca4', 'c7ce6b90707871b922aca4cb6a8b16625980788b']","title matching: single bibkey with multiple_ss_ids (['2d7797e69a35b5ffe021a2762ef251764562dca4', 'c7ce6b90707871b922aca4cb6a8b16625980788b']), took the first one with most citations",2019.0
359,Geor16,inproceedings,Simulation and Visualization to Support Breast Surgery Planning,"Georgii, J. and Paetz, T. and Harz, M. and Stoecker, C. and Rothgang, M. and Colletta, J. and Schilling, K. and Schlooz-Vries, M. and Mann, R.M. and Hahn, H. K.",,,,2016.0
360,Gern18,article,Automatic quantification of calcifications in the coronary arteries and thoracic aorta on radiotherapy planning {CT} scans of {Western} and {Asian} breast cancer patients,"Gernaat, Sofie A. M. and van Velzen, Sanne G. M. and Koh, Vicky and Emaus, Marleen J. and I{\v{s}}gum, Ivana and Lessmann, Nikolas and Moes, Shinta and Jacobson, Anouk and Tan, Poey W. and Grobbee, Diederick E. and van den Bongard, Desiree H. J. and Tang, Johann I. and Verkooijen, Helena M.",,,,2018.0
367,Ghaf17c,article,Location Sensitive Deep Convolutional Neural Networks for Segmentation of White Matter Hyperintensities,Mohsen Ghafoorian and Nico Karssemeijer and Tom Heskes and Inge van Uden and Clara I. S\'{a}nchez and Geert Litjens and Frank-Erik de Leeuw and Bram van Ginneken and Elena Marchiori and Bram Platel,91feb0cb04d67a5c38d0a4e7c67fc7874491abc6,"['91feb0cb04d67a5c38d0a4e7c67fc7874491abc6', '925024223075dcc5b4db81f4b07eddf2cbdf4519']","title matching: single bibkey with multiple_ss_ids (['91feb0cb04d67a5c38d0a4e7c67fc7874491abc6', '925024223075dcc5b4db81f4b07eddf2cbdf4519']), took the first one with most citations",2017.0
419,Ginn17,article,"Fifty years of computer analysis in chest imaging: rule-based, machine learning, deep learning","van Ginneken, Bram",b69fe5a837277ddbea5215d6bacd3a902e9d11ce,"['46479bbea7749cb2db35b139206039531327053c', 'b69fe5a837277ddbea5215d6bacd3a902e9d11ce']","title matching: single bibkey with multiple_ss_ids (['46479bbea7749cb2db35b139206039531327053c', 'b69fe5a837277ddbea5215d6bacd3a902e9d11ce']), took the first one with most citations",2017.0
423,Ginn20,article,The Potential of Artificial Intelligence to Analyze Chest Radiographs for Signs of {COVID}-19 Pneumonia,Bram van Ginneken,11cfab281e93fa7803931be8b589aa1f09d7af02,"['11cfab281e93fa7803931be8b589aa1f09d7af02', '8c4fab5306f4c4e179cfae2acd3427fb5d661627']","title matching: single bibkey with multiple_ss_ids (['11cfab281e93fa7803931be8b589aa1f09d7af02', '8c4fab5306f4c4e179cfae2acd3427fb5d661627']), took the first one with most citations",2020.0
435,Gonz19b,article,Iterative augmentation of visual evidence for weakly-supervised lesion localization in deep interpretability frameworks,"Gonz\'{a}lez-Gonzalo, Cristina and Liefers, Bart and van Ginneken, Bram and S\'{a}nchez, Clara I",,,,2019.0
443,Goud20,article,Tussen data en theorie,"Goudsmit, Jeroen and Teuwen, Jonas",,,,2020.0
476,Gube15d,inproceedings,Pectoral muscle surface segmentation in automated 3{D} breast ultrasound using cylindrical transform and atlas information,"Gubern-M\'{e}rida, A. and Tan, T. and van Zelst, J. and Mann, R. M. and Platel, B. and Karssemeijer, N.",,,,2015.0
482,Habi20,article,Evaluation of computer aided detection of tuberculosis on chest radiography among people with diabetes in Karachi Pakistan,"Habib, Shifa Salman and Rafiq, Sana and Zaidi, Syed Mohammad Asad and Ferrand, Rashida Abbas and Creswell, Jacob and Van Ginneken, Bram and Jamal, Wafa Zehra and Azeemi, Kiran Sohail and Khowaja, Saira and Khan, Aamir",13122b7c0ef4a596875eff981651d60140e67417,"['13122b7c0ef4a596875eff981651d60140e67417', '142f9f46a9ca5a99de4c7b819d801d245a9334ba']","title matching: single bibkey with multiple_ss_ids (['13122b7c0ef4a596875eff981651d60140e67417', '142f9f46a9ca5a99de4c7b819d801d245a9334ba']), took the first one with most citations",2020.0
500,Hayd15a,article,Childhood pneumonia increases risk for chronic obstructive pulmonary disease: the COPDGene study,"Hayden, Lystra P. and Hobbs, Brian D. and Cohen, Robyn T. and Wise, Robert A. and Checkley, William and Crapo, James D. and Hersh, Craig P. and {COPDGene Investigators",,,,2015.0
501,Hayd18,article,Childhood asthma is associated with COPD and known asthma variants in COPDGene: a genome-wide association study,"Hayden, Lystra P and Cho, Michael H and Raby, Benjamin A and Beaty, Terri H and Silverman, Edwin K and Hersh, Craig P and COPDGene Investigators",,,,2018.0
502,Hees19,article,Genetic risk score has added value over initial clinical grading stage in predicting disease progression in age-related macular degeneration,"Heesterbeek, Thomas J and de Jong, Eiko K and Acar, Ilhan E and Groenewoud, Joannes M M and Liefers, Bart and S\'{a}nchez, Clara I. and Peto, Tunde and Hoyng, Carel B and Pauleikhoff, Daniel and Hense, Hans W and den Hollander, Anneke I",560e2100afbc64953c5155459b1f459f6e55003e,"['560e2100afbc64953c5155459b1f459f6e55003e', '65e6296fe63fbf76519ef01e16b5e62bfabbc3ca']","title matching: single bibkey with multiple_ss_ids (['560e2100afbc64953c5155459b1f459f6e55003e', '65e6296fe63fbf76519ef01e16b5e62bfabbc3ca']), took the first one with most citations",2019.0
523,Herm21,article,Quantitative assessment of inflammatory infiltrates in kidney transplant biopsies using multiplex tyramide signal amplification and deep learning,"Hermsen, Meyke AND Volk, Valery AND Brasen, Jan Hinrich AND Geijs, Daan J AND Gwinner, Wilfried AND Kers, Jesper AND Linmans, Jasper AND Schaadt, Nadine S AND Schmitz, Jessica AND Steenbergen, Eric J AND Swiderska-Chadaj, Zaneta AND Smeets, Bart AND Hilbrands, Luuk L AND van der Laak, Jeroen A W M",3881ae992914cd50a14782104170cc5dd5d9ae7e,"['3881ae992914cd50a14782104170cc5dd5d9ae7e', 'a4d4e42f1accfd77f378549c776b7c850afbcda5']","title matching: single bibkey with multiple_ss_ids (['3881ae992914cd50a14782104170cc5dd5d9ae7e', 'a4d4e42f1accfd77f378549c776b7c850afbcda5']), took the first one with most citations",2021.0
528,Heuv17a,article,Development of a Low-Cost Medical Ultrasound Scanner Using a Monostatic Synthetic Aperture,Thomas L. A. van den Heuvel and David J. Graham and Kristopher J. Smith and Chris L. de Korte and Jeffrey A. Neasham,,,,2017.0
565,Holl17c,article,Influence of breast compression pressure on the performance of population-based mammography screening,"Holland, K. and Sechopoulos, I. and Mann, R. M. and {den Heeten}, G. J. and {van Gils}, C. H. and Karssemeijer, N.",817c6ab7fde2a45210b6b80c4713b9147b3eba19,"['16352b9da95fb7a2643f617b61c56669b07879c8', '817c6ab7fde2a45210b6b80c4713b9147b3eba19']","title matching: single bibkey with multiple_ss_ids (['16352b9da95fb7a2643f617b61c56669b07879c8', '817c6ab7fde2a45210b6b80c4713b9147b3eba19']), took the first one with most citations",2017.0
655,Jara15,article,Reduced Bone Density and Vertebral Fractures in Smokers. Men and COPD Patients at Increased Risk,"Jaramillo, Joshua D. and Wilson, Carla and Stinson, Douglas S. and Stinson, Douglas J. and Lynch, David A. and Bowler, Russell P. and Lutz, Sharon and Bon, Jessica M. and Arnold, Ben and McDonald, Merry-Lynn N. and Washko, George R. and Wan, Emily S. and DeMeo, Dawn L. and Foreman, Marilyn G. and Soler, Xavier and Lindsay, Sarah E. and Lane, Nancy E. and Genant, Harry K. and Silverman, Edwin K. and Hokanson, John E. and Make, Barry J. and Crapo, James D. and Regan, Elizabeth A. and {COPD Gene Investigators",,,,2015.0
717,Kaze18,article,GANs for Medical Image Analysis,Salome Kazeminia and Christoph Baur and Arjan Kuijper and Bram van Ginneken and Nassir Navab and Shadi Albarqouni and Anirban Mukhopadhyay,,,,2018.0
725,Kloo15,article,Endobronchial Valves for Emphysema without Interlobar Collateral Ventilation,"Klooster, Karin and {ten Hacken}, Nick H T. and Hartman, Jorine E. and Kerstjens, Huib A M. and {van Rikxoort}, Eva M. and Slebos, Dirk-Jan",,,,2015.0
741,Koni20,article,Reduced Lung-Cancer Mortality with Volume CT Screening in a Randomized Trial,"de Koning, Harry J and van der Aalst, Carlijn M and de Jong, Pim A and Scholten, Ernst T and Nackaerts, Kristiaan and Heuvelmans, Marjolein A and Lammers, Jan-Willem J and Weenink, Carla and Yousaf-Khan, Uraujh and Horeweg, Nanda and van 't Westeinde, Susan and Prokop, Mathias and Mali, Willem P and Mohamed Hoesein, Firdaus A A and van Ooijen, Peter M A and Aerts, Joachim G J V and den Bakker, Michael A and Thunnissen, Erik and Verschakelen, Johny and Vliegenthart, Rozemarijn and Walter, Joan E and Ten Haaf, Kevin and Groen, Harry J M and Oudkerk, Matthijs",,,,2020.0
747,Kooi17d,article,Classifying Symmetrical Differences and Temporal Change in Mammography Using Deep Neural Networks,Thijs Kooi and Nico Karssemeijer,a908e3775fd064b0d249728a7261cfb1efa13b87,"['5e3b8647dd6da802cd06a3e8f193d4b2f2823410', 'a908e3775fd064b0d249728a7261cfb1efa13b87']","title matching: single bibkey with multiple_ss_ids (['5e3b8647dd6da802cd06a3e8f193d4b2f2823410', 'a908e3775fd064b0d249728a7261cfb1efa13b87']), took the first one with most citations",2017.0
753,Kort15,article,4D}-{CTA} in Neurovascular Disease: A Review,Hans G. J. Kortman and Ewoud J. Smit and Marcel T. H. Oei and Rashindra Manniesing and Mathias Prokop and Frederick J. A. Meijer,88b86ad75e10c7dac7b70edbd05ed494d699ffb0,"['7c83ece3400fa10da80bd363c15dd96eded51c9f', '88b86ad75e10c7dac7b70edbd05ed494d699ffb0']","title matching: single bibkey with multiple_ss_ids (['7c83ece3400fa10da80bd363c15dd96eded51c9f', '88b86ad75e10c7dac7b70edbd05ed494d699ffb0']), took the first one with most citations",2015.0
755,Kos20,article,Pitfalls in assessing stromal tumor infiltrating lymphocytes ({sTILs}) in breast cancer,Zuzana Kos and and Elvire Roblin and Rim S. Kim and Stefan Michiels and Brandon D. Gallas and Weijie Chen and Koen K. van de Vijver and Shom Goel and Sylvia Adams and Sandra Demaria and Giuseppe Viale and Torsten O. Nielsen and Sunil S. Badve and W. Fraser Symmans and Christos Sotiriou and David L. Rimm and Stephen Hewitt and Carsten Denkert and Sibylle Loibl and Stephen J. Luen and John M. S. Bartlett and Peter Savas and Giancarlo Pruneri and Deborah A. Dillon and Maggie Chon U. Cheang and Andrew Tutt and Jacqueline A. Hall and Marleen Kok and Hugo M. Horlings and Anant Madabhushi and Jeroen van der Laak and Francesco Ciompi and Anne-Vibeke Laenkholm and Enrique Bellolio and Tina Gruosso and Stephen B. Fox and Juan Carlos Araya and Giuseppe Floris and Jan Hude{\v{c}}ek and Leonie Voorwerk and Andrew H. Beck and Jen Kerner and Denis Larsimont and Sabine Declercq and Gert Van den Eynden and Lajos Pusztai and Anna Ehinger and Wentao Yang and Khalid AbdulJabbar and Yinyin Yuan and Rajendra Singh and Crispin Hiley and Maise al Bakir and Alexander J. Lazar and Stephen Naber and Stephan Wienert and Miluska Castillo and Giuseppe Curigliano and Maria-Vittoria Dieci and Fabrice Andr{\'{e}} and Charles Swanton and Jorge Reis-Filho and Joseph Sparano and Eva Balslev and I-Chun Chen and Elisabeth Ida Specht Stovgaard and Katherine Pogue-Geile and Kim R. M. Blenman and Fr{\'{e}}d{\'{e}}rique Penault-Llorca and Stuart Schnitt and Sunil R. Lakhani and Anne Vincent-Salomon and Federico Rojo and Jeremy P. Braybrooke and Matthew G. Hanna and M. Teresa Soler-Mons{\'{o}} and Daniel Bethmann and Carlos A. Castaneda and Karen Willard-Gallo and Ashish Sharma and Huang-Chun Lien and Susan Fineberg and Jeppe Thagaard and Laura Comerma and Paula Gonzalez-Ericsson and Edi Brogi and Sherene Loi and Joel Saltz and Frederick Klaushen and Lee Cooper and Mohamed Amgad and David A. Moore and Roberto Salgado,a7f96553bc690f6f66697895a98e9377cc0f7562,"['889cc0565d6e2e844f4db0132c71a612672d2497', 'a7f96553bc690f6f66697895a98e9377cc0f7562']","title matching: single bibkey with multiple_ss_ids (['889cc0565d6e2e844f4db0132c71a612672d2497', 'a7f96553bc690f6f66697895a98e9377cc0f7562']), took the first one with most citations",2020.0
