bibkey,type,title,authors,doi,gs_citations,journal
JRH,string,,,,,
JRSS,string,,,,,
JRSSB,string,,,,,
JSB,string,,,,,
JSCVD,string,,,,,
JSD,string,,,,,
JSDT,string,,,,,
JSO,string,,,,,
JSTROKE,string,,,,,
JSTSP,string,,,,,
JSURRES,string,,,,,
JT,string,,,,,
JTCS,string,,,,,
JTD,string,,,,,
JTHRHAE,string,,,,,
JTI,string,,,,,
JTISENGREGMED,string,,,,,
JTO,string,,,,,
JTRAMED,string,,,,,
JU,string,,,,,
JUM,string,,,,,
JVA,string,,,,,
JVCIR,string,,,,,
JVIR,string,,,,,
JVIROL,string,,,,,
JVOICE,string,,,,,
JVS,string,,,,,
JWH,string,,,,,
KI,string,,,,,
KITS,string,,,,,
KJR,string,,,,,
KLINF,string,,,,,
Knee,string,,,,,
LABINV,string,,,,,
Lancet,string,,,,,
LANCETGH,string,,,,,
LANCETID,string,,,,,
LANCETN,string,,,,,
LANCETO,string,,,,,
LANCETRM,string,,,,,
Laryngoscope,string,,,,,
LDA,string,,,,,
LHD,string,,,,,
LNAI,string,,,,,
LNCS,string,,,,,
Lung,string,,,,,
LUNGC,string,,,,,
LYMPHRESBIO,string,,,,,
MACD,string,,,,,
MAGMA,string,,,,,
MBEC,string,,,,,
MCP,string,,,,,
MD,string,,,,,
MDM,string,,,,,
MEDCNA,string,,,,,
MEDSCIMON,string,,,,,
MEDUS,string,,,,,
Menopause,string,,,,,
MEP,string,,,,,
MGR,string,,,,,
MI,string,,,,,
MIA,string,,,,,
MICAD,string,,,,,
MICCAI,string,,,,,
MIDL,string,,,,,
MIM,string,,,,,
Mind,string,,,,,
MINF,string,,,,,
MIT,string,,,,,
Mitochondrion,string,,,,,
MJA,string,,,,,
ML,string,,,,,
MM,string,,,,,
MMB,string,,,,,
MMM,string,,,,,
MMS,string,,,,,
MN,string,,,,,
MODP,string,,,,,
MOLC,string,,,,,
MOLCT,string,,,,,
MOLI,string,,,,,
MOLIB,string,,,,,
MOLPHA,string,,,,,
MOLVIS,string,,,,,
MP,string,,,,,
MRI,string,,,,,
MRICNA,string,,,,,
MRM,string,,,,,
MRMPBM,string,,,,,
MRMS,string,,,,,
MRP,string,,,,,
MVA,string,,,,,
Nanobiotechnology,string,,,,,
Nanotechnology,string,,,,,
NATCAN,string,,,,,
NATCOM,string,,,,,
NATMED,string,,,,,
NATREVCAN,string,,,,,
NATREVCLIONC,string,,,,,
NATREVDRUDIS,string,,,,,
NATREVMICBIO,string,,,,,
NATREVNEP,string,,,,,
NATREVNEU,string,,,,,
NATREVU,string,,,,,
NATSCIREP,string,,,,,
Nature,string,,,,,
NATUREBT,string,,,,,
NBE,string,,,,,
NDT,string,,,,,
NEJM,string,,,,,
Neoplasia,string,,,,,
Nervenarzt,string,,,,,
NETHHJ,string,,,,,
NETHJM,string,,,,,
NEUBA,string,,,,,
NEUBD,string,,,,,
NEUC,string,,,,,
NEUCC,string,,,,,
NEUCI,string,,,,,
NEUCS,string,,,,,
NEUI,string,,,,,
NEUICL,string,,,,,
NEUN,string,,,,,
NEUONC,string,,,,,
NEURES,string,,,,,
NEURNR,string,,,,,
Neurocomputing,string,,,,,
Neurology,string,,,,,
Neuron,string,,,,,
Neuropediatrics,string,,,,,
Neuroradiology,string,,,,,
Neuroreport,string,,,,,
Neurosurgery,string,,,,,
NEURUUD,string,,,,,
NEUSF,string,,,,,
NEUSRC,string,,,,,
NIMPR-A,string,,,,,
NJMS,string,,,,,
NMD,string,,,,,
NMRB,string,,,,,
NPJBC,string,,,,,
NRU,string,,,,,
NTVG,string,,,,,
NUCMB,string,,,,,
NUCMC,string,,,,,
Nuklearmedizin,string,,,,,
OE,string,,,,,
OEM,string,,,,,
OMS,string,,,,,
Oncoimmunology,string,,,,,
Oncologist,string,,,,,
Oncology,string,,,,,
Oncotarget,string,,,,,
OO,string,,,,,
Ophthalmologica,string,,,,,
Ophthalmology,string,,,,,
OPTC,string,,,,,
OPTE,string,,,,,
OTON,string,,,,,
OVS,string,,,,,
PAA,string,,,,,
PARC,string,,,,,
PATHOB,string,,,,,
PATS,string,,,,,
PBMB,string,,,,,
PCPD,string,,,,,
PEDAI,string,,,,,
PEDBC,string,,,,,
PEDCAR,string,,,,,
PEDCCM,string,,,,,
PEDCNA,string,,,,,
PEDEC,string,,,,,
Pediatrics,string,,,,,
PEDNEP,string,,,,,
PEDNEU,string,,,,,
PEDPUL,string,,,,,
PEDRAD,string,,,,,
PEDRES,string,,,,,
Peptides,string,,,,,
Perception,string,,,,,
PHA,string,,,,,
PHYSMED,string,,,,,
PHYSREVA,string,,,,,
PHYSREVD,string,,,,,
PICIP,string,,,,,
PICML,string,,,,,
PICPR,string,,,,,
PIEEE,string,,,,,
PIMEH,string,,,,,
PLOSBIOL,string,,,,,
PLOSMED,string,,,,,
PLOSONE,string,,,,,
PMB,string,,,,,
PNAS,string,,,,,
Pneumologie,string,,,,,
PR,string,,,,,
PRER,string,,,,,
PRIA,string,,,,,
PRJ,string,,,,,
PRL,string,,,,,
PROCBS,string,,,,,
Prostate,string,,,,,
Proteins,string,,,,,
PSPOIE,string,,,,,
PSR,string,,,,,
PSYB,string,,,,,
PSYCHIRES,string,,,,,
PSYM,string,,,,,
PSYR,string,,,,,
QIMS,string,,,,,
QJM,string,,,,,
QJNUCMED,string,,,,,
QJNUCMEDMOLIMA,string,,,,,
RADBRA,string,,,,,
RADD,string,,,,,
RADIATRES,string,,,,,
Radiographics,string,,,,,
RADIOLMED,string,,,,,
Radiologe,string,,,,,
Radiology,string,,,,,
RADIOLONC,string,,,,,
RADM,string,,,,,
RADONC,string,,,,,
RAI,string,,,,,
RAPM,string,,,,,
RBME,string,,,,,
RCNA,string,,,,,
RECRCR,string,,,,,
REGPEP,string,,,,,
REGTOXPHA,string,,,,,
REPSCI,string,,,,,
REPTOX,string,,,,,
RESPC,string,,,,,
Respiration,string,,,,,
Respirology,string,,,,,
RESPM,string,,,,,
RESPR,string,,,,,
Retina,string,,,,,
REVU,string,,,,,
RHEINT,string,,,,,
RHEUMADV,string,,,,,
Rheumatology,string,,,,,
RHOISLMED,string,,,,,
RIMTSP,string,,,,,
RM,string,,,,,
Robotica,string,,,,,
Rofo,string,,,,,
RPD,string,,,,,
RPT,string,,,,,
RSNA,string,,,,,
RTO,string,,,,,
Sarcoma,string,,,,,
SCACARJ,string,,,,,
SCAJGAS,string,,,,,
SCAJINFDIS,string,,,,,
SCC,string,,,,,
SCHBUL,string,,,,,
Science,string,,,,,
SCIENCETM,string,,,,,
Scientometrics,string,,,,,
SCIREP,string,,,,,
SEMCARTVA,string,,,,,
SEMIC,string,,,,,
SEMNEU,string,,,,,
SEMNM,string,,,,,
SEMR,string,,,,,
SEMRESCCM,string,,,,,
SEMSURONC,string,,,,,
SEMTHOCVS,string,,,,,
SEMUCM,string,,,,,
SEMVMSSA,string,,,,,
SEMVS,string,,,,,
Sensors,string,,,,,
SHTI,string,,,,,
SIAMJCOM,string,,,,,
SIAMJMAA,string,,,,,
SIAMJNUMA,string,,,,,
SIAMJSCIC,string,,,,,
SIGPRO,string,,,,,
SKER,string,,,,,
SKIRESTEC,string,,,,,
SM,string,,,,,
Small,string,,,,,
SMMR,string,,,,,
SOCSCIMED,string,,,,,
SOUAFRMEDJ,string,,,,,
SP,string,,,,,
SPIE,string,,,,,
Spine,string,,,,,
SPM,string,,,,,
SRA,string,,,,,
STACOM,string,,,,,
STASUR,string,,,,,
Stroke,string,,,,,
STRONK,string,,,,,
SUBCELBIO,string,,,,,
Surgery,string,,,,,
SUROPH,string,,,,,
SYMCULSCI,string,,,,,
Symmetry,string,,,,,
TAI,string,,,,,
TARONC,string,,,,,
TASSP,string,,,,,
TBCAS,string,,,,,
TBME,string,,,,,
TC,string,,,,,
TCOMM,string,,,,,
TCR,string,,,,,
TCS,string,,,,,
TECHCRT,string,,,,,
TECHHC,string,,,,,
Technometrics,string,,,,,
TEH,string,,,,,
TEXHIJ,string,,,,,
TFS,string,,,,,
THEDRUMON,string,,,,,
THOCVS,string,,,,,
Thorax,string,,,,,
THOSC,string,,,,,
THRHAE,string,,,,,
THRRES,string,,,,,
TIJPM,string,,,,,
TIP,string,,,,,
TISENG,string,,,,,
TISENGB,string,,,,,
TISENGC,string,,,,,
TIT,string,,,,,
TITB,string,,,,,
TJEM,string,,,,,
TKDE,string,,,,,
TLCR,string,,,,,
TMI,string,,,,,
TMIH,string,,,,,
TMM,string,,,,,
TMRI,string,,,,,
TNN,string,,,,,
TNNLS,string,,,,,
TNS,string,,,,,
TOXAP,string,,,,,
TP,string,,,,,
TPAMI,string,,,,,
TRAMON,string,,,,,
Transfusion,string,,,,,
TRAP,string,,,,,
TREBT,string,,,,,
TRECVM,string,,,,,
TREEM,string,,,,,
TREMM,string,,,,,
Trials,string,,,,,
TROD,string,,,,,
TRSTMH,string,,,,,
TSAP,string,,,,,
TSMC,string,,,,,
TSP,string,,,,,
Tuberculosis,string,,,,,
TUBLUNDIS,string,,,,,
TUFF,string,,,,,
TUMBIO,string,,,,,
Tumori,string,,,,,
TUR,string,,,,,
TVCG,string,,,,,
UI,string,,,,,
UJMS,string,,,,,
Ultramicroscopy,string,,,,,
Ultrasonics,string,,,,,
UMB,string,,,,,
Unfallchirurg,string,,,,,
UOG,string,,,,,
UPDCANTHE,string,,,,,
UROCLINA,string,,,,,
Urologe,string,,,,,
Urology,string,,,,,
UROONC,string,,,,,
URORES,string,,,,,
USM,string,,,,,
Vascular,string,,,,,
VETJ,string,,,,,
VIRA,string,,,,,
VISCOM,string,,,,,
VISR,string,,,,,
VOPONK,string,,,,,
VRU,string,,,,,
WIENKW,string,,,,,
WIENKWS,string,,,,,
WIENMW,string,,,,,
WIENMWS,string,,,,,
WIRSBM,string,,,,,
WJDIA,string,,,,,
WJGE,string,,,,,
WJM,string,,,,,
WJNUCMED,string,,,,,
WJR,string,,,,,
WJSURG,string,,,,,
WJU,string,,,,,
WONEU,string,,,,,
WOUREPREG,string,,,,,
ZEIAVW,string,,,,,
ZEIMP,string,,,,,
ZENNEUCHI,string,,,,,
ZKARD,string,,,,,
Abas05,article,Analysis of regularity in the {EEG} background activity of {A}lzheimer's disease patients with {A}pproximate {E}ntropy,D. Ab\'{a}solo and R. Hornero and P. Espino and J. Poza and C. I. S\'{a}nchez and R. de la Rosa,10.1016/j.clinph.2005.04.001,233,CLINNP
Genu22,conference,Imaging tumor-infiltrating CD8 (+) T-cells in non-small cell lung cancer patients upon neo-adjuvant treatment with durvalumab,E. A. J. van Genugten and B. Piet and G. Schreibelt and T. van Oorschot and G. van den Heuvel and F. Ciompi and C. Jacobs and J. de Vries and M. M. van den Heuvel and E. Aarntzen,,,
