staff_id,staff_name,staff_from,staff_till,ss_year,ss_id,title,doi,ss_citations
145441238,Jeroen van der Laak,1991,9999,2008,0288dfe9cbadb8464bccf1f2094989ed3b635c62,Peroxisome Proliferator-activated Receptor γ Activation Promotes Infiltration of Alternatively Activated Macrophages into Adipose Tissue*,10.1074/jbc.M710314200,189
123637526,Bram van Ginneken,1996,9999,2017,02a6b1ae18332136192bc7977c366e6340e5c62c,Normalized emphysema scores on low dose CT: Validation as an imaging biomarker for mortality,10.1371/journal.pone.0188902,10
2895994,Colin Jacobs,2010,9999,2017,02a6b1ae18332136192bc7977c366e6340e5c62c,Normalized emphysema scores on low dose CT: Validation as an imaging biomarker for mortality,10.1371/journal.pone.0188902,10
144085811,Clarisa Sanchez,2008,2021,2017,02a6b1ae18332136192bc7977c366e6340e5c62c,Normalized emphysema scores on low dose CT: Validation as an imaging biomarker for mortality,10.1371/journal.pone.0188902,10
2109170880,Ajay Patel,2015,9999,2019,03254edc77c0459ad9fd9ea458c3ae171c0a4247,Intracerebral Haemorrhage Segmentation in Non-Contrast CT,10.1038/s41598-019-54491-6,34
8038506,Bram van Ginneken,1996,9999,2019,03254edc77c0459ad9fd9ea458c3ae171c0a4247,Intracerebral Haemorrhage Segmentation in Non-Contrast CT,10.1038/s41598-019-54491-6,34
2657081,Rashindra Manniesing,2010,2021,2019,03254edc77c0459ad9fd9ea458c3ae171c0a4247,Intracerebral Haemorrhage Segmentation in Non-Contrast CT,10.1038/s41598-019-54491-6,34
1419819133,Cornelia Schaefer-Prokop,2010,9999,2018,032a0374513489195712dabb380d0feb3bb85d46,Lung cancer risk to personalise annual and biennial follow-up computed tomography screening,10.1136/thoraxjnl-2017-211107,28
123637526,Bram van Ginneken,1996,9999,2018,032a0374513489195712dabb380d0feb3bb85d46,Lung cancer risk to personalise annual and biennial follow-up computed tomography screening,10.1136/thoraxjnl-2017-211107,28
2895994,Colin Jacobs,2010,9999,2018,032a0374513489195712dabb380d0feb3bb85d46,Lung cancer risk to personalise annual and biennial follow-up computed tomography screening,10.1136/thoraxjnl-2017-211107,28
1745574,Nico Karssemeijer,1989,2022,2009,035397ac5e8e55ade890c76064260a11bccd20a2,Improved mammographic CAD performance using multi-view information: a Bayesian network framework,10.1088/0031-9155/54/5/003,60
8038506,Bram van Ginneken,1996,9999,2014,03582bc12f4bb32136d028e3d09fa07b98b25bb9,Effect of image variation on computer-aided detection systems,10.1117/12.2043520,1
8038506,Bram van Ginneken,1996,9999,2010,038a4c2ff6d67ddcdfe07449d6657e4d37493b8f,Pulmonary vasculature in thoracic CT scans : an automatic segmentation algorithm and a publicly available quantitative evaluation framework,,0
145441238,Jeroen van der Laak,1991,9999,2004,0393858322baacc7a67867a444260d4f03c45c5c,Inverse Correlation between Genetic Aberrations and Malignancy Grade in Ependymal Tumors: A Paradox?,10.1023/B:NEON.0000013493.31107.20,24
34754023,Henjan Huisman,1992,9999,2020,03ad8d7078805db6fbd4993b881045b462b4e028,Introducing PIONEER: a project to harness big data in prostate cancer research,10.1038/s41585-020-0324-x,15
1745574,Nico Karssemeijer,1989,2022,2017,03c07dd19884c370e3a49106a27578ffc3697475,Conditional random field modelling of interactions between findings in mammography,10.1117/12.2254133,1
8038506,Bram van Ginneken,1996,9999,2019,03ef312b3d3e616fd7f0a2f2260c82ad62ed7ef1,Reversible Networks for Memory-efficient Image-to-Image Translation in 3 D Medical Imaging,,0
123637526,Bram van Ginneken,1996,9999,2008,0445a1a0aa30c9ca41a8ab31463d617b849a0814,Evaluation of a System for Automatic Detection of Diabetic Retinopathy From Color Fundus Photographs in a Large Population of Patients With Diabetes,10.2337/dc08-0952,13
8038506,Bram van Ginneken,1996,9999,2018,04507020e4e003042150dcc8602505d1bec71c49,GANs for Medical Image Analysis,10.1016/j.artmed.2020.101938,241
1745574,Nico Karssemeijer,1989,2022,2003,047a1a51dff311bfdbf5eed4ab11805d059bdf84,A comparison of methods for mammogram registration,10.1109/TMI.2003.819273,90
1419819133,Cornelia Schaefer-Prokop,2010,9999,2020,04eda893d160910706751960e4ca9dd730f42674,Perifissural nodules: ready for application into lung cancer CT screening?,10.21037/ATM-20-3384,0
144085811,Clarisa Sanchez,2008,2021,2018,05078a4b34fbf98a940b3ca7f97773632c787397,Improving weakly-supervised lesion localization with iterative saliency map refinement,,4
8038506,Bram van Ginneken,1996,9999,2018,05078a4b34fbf98a940b3ca7f97773632c787397,Improving weakly-supervised lesion localization with iterative saliency map refinement,,4
1419819133,Cornelia Schaefer-Prokop,2010,9999,2019,0552dbeb5da3e5aa36dc876152c5634e0de64661,Iodine Maps from Subtraction CT or Dual-Energy CT to Detect Pulmonary Emboli with CT Angiography: A Multiple-Observer Study.,10.1148/radiol.2019182666,30
123637526,Bram van Ginneken,1996,9999,2012,0566f2dbb3c0d1e814b2067f6a14664bdcbb9881,Coronary artery calcium can predict all-cause mortality and cardiovascular events on low-dose CT screening for lung cancer.,10.2214/AJR.10.5577,72
34754023,Henjan Huisman,1992,9999,1998,056af49e670a8c5385d7c39977acd8d49de9fff0,An in vivo ultrasonic model of liver parenchyma,10.1109/58.677618,11
34754023,Henjan Huisman,1992,9999,2011,057100455efca559a6d38d31ed35cf56bdefc958,Relationship between apparent diffusion coefficients at 3.0-T MR imaging and Gleason grade in peripheral zone prostate cancer.,10.1148/radiol.11091409,440
123637526,Bram van Ginneken,1996,9999,2015,0586cbd2a31688a22dac13eafb768fa2edf56b47,Normalizing computed tomography data reconstructed with different filter kernels: effect on emphysema quantification,10.1007/s00330-015-3824-y,50
8038506,Bram van Ginneken,1996,9999,2011,05abf67f5320dd744e9edf76d5b04d4258bd49bd,Automated Measurement of the Arteriolar-to-Venular Width Ratio in Digital Color Fundus Photographs,10.1109/TMI.2011.2159619,174
1745574,Nico Karssemeijer,1989,2022,2014,05d1ef3f3fae550a68153dea6cdb3f53a6fb2294,Invariant Features for Discriminating Cysts from Solid Lesions in Mammography,10.1007/978-3-319-07887-8_80,4
145441238,Jeroen van der Laak,1991,9999,2020,05fc7e2ebc4b7b0efc9bc79d4c5119c1a4d8ae38,Detection of Prostate Cancer in Whole-Slide Images Through End-to-End Training With Image-Level Labels,10.1109/TMI.2021.3066295,34
145959882,Geert Litjens,2016,9999,2020,05fc7e2ebc4b7b0efc9bc79d4c5119c1a4d8ae38,Detection of Prostate Cancer in Whole-Slide Images Through End-to-End Training With Image-Level Labels,10.1109/TMI.2021.3066295,34
8038506,Bram van Ginneken,1996,9999,2019,0655dcaa39cf41a3609974840f91300d73b4aed1,The Liver Tumor Segmentation Benchmark (LiTS),10.1016/j.media.2022.102680,474
2895994,Colin Jacobs,2010,9999,2019,0655dcaa39cf41a3609974840f91300d73b4aed1,The Liver Tumor Segmentation Benchmark (LiTS),10.1016/j.media.2022.102680,474
145441238,Jeroen van der Laak,1991,9999,2019,06578dbe1d4b788eb0b6b0c84e3d4fae0ddf3a37,"HER2, chromosome 17 polysomy and DNA ploidy status in breast cancer; a translational study",10.1038/s41598-019-48212-2,15
145441238,Jeroen van der Laak,1991,9999,2020,06bcda243a29be0892422c60b663f80cff21978a,Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists,10.1038/s41379-020-0640-y,77
145959882,Geert Litjens,2016,9999,2020,06bcda243a29be0892422c60b663f80cff21978a,Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists,10.1038/s41379-020-0640-y,77
145959882,Geert Litjens,2016,9999,2016,06c8b4c1dd0c045bc6a08d0062c5042b5588d55b,Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,10.1109/TMI.2016.2536809,951
2895994,Colin Jacobs,2010,9999,2016,06c8b4c1dd0c045bc6a08d0062c5042b5588d55b,Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,10.1109/TMI.2016.2536809,951
8038506,Bram van Ginneken,1996,9999,2016,06c8b4c1dd0c045bc6a08d0062c5042b5588d55b,Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,10.1109/TMI.2016.2536809,951
144085811,Clarisa Sanchez,2008,2021,2016,06c8b4c1dd0c045bc6a08d0062c5042b5588d55b,Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,10.1109/TMI.2016.2536809,951
143613202,Francesco Ciompi,2013,9999,2016,06c8b4c1dd0c045bc6a08d0062c5042b5588d55b,Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,10.1109/TMI.2016.2536809,951
34754023,Henjan Huisman,1992,9999,2019,06d09d8c1c217b9bfa0f89736258b8f3b4edc555,Multiparametric MRI and auto-fixed volume of interest-based radiomics signature for clinically significant peripheral zone prostate cancer,10.1007/s00330-019-06488-y,34
144085811,Clarisa Sanchez,2008,2021,2015,06d272dcc4260690637651022e281399880d1c4d,The role of age-related macular degeneration associated variants in drusen progression,,0
1745574,Nico Karssemeijer,1989,2022,2020,06d9612eae5f1ba519cb6ea0d52721a3af2c03ef,Reliability of MRI tumor size measurements for minimal invasive treatment selection in small breast cancers.,10.1016/j.ejso.2020.04.038,2
145388932,Jeroen van der Laak,1991,9999,2019,06ee6ed85131848ef70da625806ba480915aa2e0,Axillary lymph nodes in breast cancer cases,10.23698/AIDA/BRLN,4
1745574,Nico Karssemeijer,1989,2022,1993,06f1f4bef8e1b2d90068fc9d4feb542fabbe836e,Recognition of clustered microcalcifications using a random field model,10.1117/12.148689,36
8038506,Bram van Ginneken,1996,9999,2004,07456424645481c6fcb32de1373978bbfc6e6e2c,Dimensionality Reduction by Canonical Contextual Correlation Projections,10.1007/978-3-540-24670-1_43,13
143613202,Francesco Ciompi,2013,9999,2021,0759829c3d1484b5ba08e60ffb8282207ab68a8b,Impact of PD-L1 and PD-1 Expression on the Prognostic Significance of CD8+ Tumor-Infiltrating Lymphocytes in Non-Small Cell Lung Cancer,10.3389/fimmu.2021.680973,14
145441238,Jeroen van der Laak,1991,9999,2009,075efa458e06bd497f3007d17e98633aead4b4b1,Circulating tumour tissue fragments in patients with pulmonary metastasis of clear cell renal cell carcinoma,10.1002/path.2613,73
8038506,Bram van Ginneken,1996,9999,2003,0778bee7108adc686ab78dcd98758c76bf14bd36,Adapting Active Shape Models for 3D Segmentation of Tubular Structures in Medical Images,10.1007/978-3-540-45087-0_12,176
1745574,Nico Karssemeijer,1989,2022,2003,0783f67fc8b02251c6dc8480fc4507aa308a4192,SCREEN-TRIAL: Softcopy Reading in European Screening Mammography,10.1007/978-3-642-59327-7_100,3
1419819133,Cornelia Schaefer-Prokop,2010,9999,2011,078e41cf1b20c481a7f9536ea2cc68b749a84180,Infantile Respiratory Distress Syndrome,10.1055/B-0034-84659,0
8038506,Bram van Ginneken,1996,9999,2012,07b1cfaff7bb3fcdd0df7ddd43cf46258be9438b,Automatic classication of pulmonary function in COPD patients using trachea analysis in chest CT scans,10.1117/12.911603,6
8038506,Bram van Ginneken,1996,9999,2012,07b2f94dc6b1ea64bd3e3a6495830b3ed92506ce,Medical Imaging 2012: Computer-Aided Diagnosis,,3
123637526,Bram van Ginneken,1996,9999,2019,0807697ee497d294c1ec272631c5f84aeeb2571e,Computer aided detection of tuberculosis on chest radiographs: An evaluation of the CAD4TB v6 system,10.1038/s41598-020-62148-y,90
35730362,Keelin Murphy,2018,9999,2019,0807697ee497d294c1ec272631c5f84aeeb2571e,Computer aided detection of tuberculosis on chest radiographs: An evaluation of the CAD4TB v6 system,10.1038/s41598-020-62148-y,90
34754023,Henjan Huisman,1992,9999,2010,081192653b4294975a09b1c003e8a68a805c1f68,Pharmacokinetic evaluation of DCIS,,0
123637526,Bram van Ginneken,1996,9999,2018,0831d694fa14d96916f62226c6c74d862f90772c,Accuracy of an automated system for tuberculosis detection on chest radiographs in high-risk screening,10.5588/ijtld.17.0492,21
144085811,Clarisa Sanchez,2008,2021,2018,0831d694fa14d96916f62226c6c74d862f90772c,Accuracy of an automated system for tuberculosis detection on chest radiographs in high-risk screening,10.5588/ijtld.17.0492,21
34754023,Henjan Huisman,1992,9999,2018,08509a76ccc2ef61e33ca17c13733ad2397780bb,Autoencoders for Multi-Label Prostate MR Segmentation,,5
4960344,James Meakin,2017,9999,2017,086a39a4b16055705aa074381c0dc9a0c685fc1a,OP05. ARTERIAL SPIN LABELLING MRI OF CEREBRAL TUMOURS IN RATS,10.1093/neuonc/now292.004,0
2895994,Colin Jacobs,2010,9999,2022,08c1b02b22c53480dcf792b8346a5ae416a7bc00,"Innovations in thoracic imaging: CT, radiomics, AI and x‐ray velocimetry",10.1111/resp.14344,8
8038506,Bram van Ginneken,1996,9999,2010,08e4dedc42f4673f3af944da663d5f50ada17176,Fusion of Local and Global Detection Systems to Detect Tuberculosis in Chest Radiographs,10.1007/978-3-642-15711-0_81,84
34754023,Henjan Huisman,1992,9999,2020,0932c8d086f3646cd8a42f9ee5353fe092d73cd4,Encoding Clinical Priori in 3D Convolutional Neural Networks for Prostate Cancer Detection in bpMRI,,5
1798137,Bram Platel,2010,2019,2013,0a0094567a4b50f0274c729c55d272608d1cdafc,Finding lesion correspondences in different views of automated 3D breast ultrasound,10.1117/12.2007475,4
1745574,Nico Karssemeijer,1989,2022,2013,0a0094567a4b50f0274c729c55d272608d1cdafc,Finding lesion correspondences in different views of automated 3D breast ultrasound,10.1117/12.2007475,4
145441238,Jeroen van der Laak,1991,9999,2013,0a650d21b9b30a7967b59b48630ee2c00fb9ccf6,Chromosome instability predicts the progression of premalignant oral lesions.,10.1016/j.oraloncology.2013.09.006,49
145959882,Geert Litjens,2016,9999,2020,0a79db68b14b74dfd7637ed5b8a0a7aa2956e3ea,Artificial intelligence to detect MYC translocation in slides of diffuse large B-cell lymphoma,10.1007/s00428-020-02931-4,9
2913408,Nikolas Lessman,2019,2022,2022,0aabb1a4831d724bf28ef9a9a0d7bde6a1bb2ea7,Knowledge distillation with ensembles of convolutional neural networks for medical image segmentation,10.1117/1.JMI.9.5.052407,3
123637526,Bram van Ginneken,1996,9999,2022,0aabb1a4831d724bf28ef9a9a0d7bde6a1bb2ea7,Knowledge distillation with ensembles of convolutional neural networks for medical image segmentation,10.1117/1.JMI.9.5.052407,3
8038506,Bram van Ginneken,1996,9999,2016,0ab99aa04e3a8340a7552355fb547374a5604b24,Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique,10.1109/TMI.2016.2553401,1300
8038506,Bram van Ginneken,1996,9999,2019,0ad54bc84119cf0a8ff04d939cc0b4575d7e9b5a,Chest CT Super-resolution and Domain-adaptation using Memory-efficient 3D Reversible GANs,,5
145441238,Jeroen van der Laak,1991,9999,2002,0ae68df9c2db0a0488903a76d56479cbf6bcd32f,Computer assisted analysis of the microvasculature in metastasized and nonmetastasized squamous cell carcinomas of the tongue,10.1002/hed.10100,30
123637526,Bram van Ginneken,1996,9999,2010,0af2a2b7fadd371abc1c8c46b6b37433478ae638,Computer-aided detection of lung cancer on chest radiographs: effect on observer performance.,10.1148/radiol.10092437,76
1419819133,Cornelia Schaefer-Prokop,2010,9999,2010,0af2a2b7fadd371abc1c8c46b6b37433478ae638,Computer-aided detection of lung cancer on chest radiographs: effect on observer performance.,10.1148/radiol.10092437,76
34754023,Henjan Huisman,1992,9999,2022,0b10a3e57da548c641e38f7ad02937e6bd50203d,AI-assisted biparametric MRI surveillance of prostate cancer: feasibility study,10.1007/s00330-022-09032-7,3
123637526,Bram van Ginneken,1996,9999,2019,0b7485b0593a744432ddc552c24bc74cbbba4c3c,"Combined Forced Expiratory Volume in 1 Second and Forced Vital Capacity Bronchodilator Response, Exacerbations, and Mortality in Chronic Obstructive Pulmonary Disease",10.1513/ANNALSATS.201809-601OC,23
1419819133,Cornelia Schaefer-Prokop,2010,9999,2022,0b78520bea8310ff375cf953bbde10082db0eede,Empiric vs Preemptive Antifungal Strategy in High-Risk Neutropenic Patients on Fluconazole Prophylaxis: A Randomized Trial of the European Organization for Research and Treatment of Cancer,10.1093/cid/ciac623,6
1745574,Nico Karssemeijer,1989,2022,2016,0b86365ed2e292ae5da868946983b31f7a9dc391,Performance of Breast Cancer Screening Depends on Mammographic Compression,10.1007/978-3-319-41546-8_24,17
1419819133,Cornelia Schaefer-Prokop,2010,9999,2011,0bc084e751229e24c76a90f241d5d09ca9df1741,Hypertrophic Pyloric Stenosis,10.1055/b-0034-84674,0
145441238,Jeroen van der Laak,1991,9999,2019,0c44949334771d4e331d792bc0db77c7fe708ca2,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks,10.7717/peerj.6335,17
145959882,Geert Litjens,2016,9999,2019,0c44949334771d4e331d792bc0db77c7fe708ca2,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks,10.7717/peerj.6335,17
8038506,Bram van Ginneken,1996,9999,2008,0c4d24dadb96b397af79b4d6ce7087548c797d72,Computer-Aided Diagnosis in Thoracic Computed Tomography,10.1111/J.1617-0830.2009.00129.X,16
145441238,Jeroen van der Laak,1991,9999,1997,0c5f19ca1a60cfe29f7ca6f28710702b898f4d82,Vascular density in melanoma xenografts correlates with vascular permeability factor expression but not with metastatic potential.,10.1038/bjc.1997.427,73
2895994,Colin Jacobs,2010,9999,2018,0c7b80f04984d9cea99337c21cee93a69dae27dd,Efficient organ localization using multi-label convolutional neural networks in thorax-abdomen CT scans,10.1088/1361-6560/aab4b3,29
123637526,Bram van Ginneken,1996,9999,2018,0c7b80f04984d9cea99337c21cee93a69dae27dd,Efficient organ localization using multi-label convolutional neural networks in thorax-abdomen CT scans,10.1088/1361-6560/aab4b3,29
1798137,Bram Platel,2010,2019,2017,0c98c7ef6e5cecde3afffcd8d73d8b88c1b6c108,Textural analysis of early‐phase spatiotemporal changes in contrast enhancement of breast lesions imaged with an ultrafast DCE‐MRI protocol,10.1002/mp.12408,14
1745574,Nico Karssemeijer,1989,2022,2006,0cac166d49f3f7193b4ef0ba591bc1155aa0a762,Interval change analysis to improve computer aided detection in mammography,10.1016/J.MEDIA.2005.03.007,54
1745574,Nico Karssemeijer,1989,2022,2004,0cbad7d5413ec1935ffcd66010550ccca55dfa6e,"C. ROUX, Chairman Engineering in Medicine and Biology",,0
8038506,Bram van Ginneken,1996,9999,2004,0cbad7d5413ec1935ffcd66010550ccca55dfa6e,"C. ROUX, Chairman Engineering in Medicine and Biology",,0
1745574,Nico Karssemeijer,1989,2022,2006,0d273948d15fe1bc231a712a308804f8426ee988,Finding corresponding regions of interest in mediolateral oblique and craniocaudal mammographic views.,10.1118/1.2230359,31
1745574,Nico Karssemeijer,1989,2022,2000,0d8168e66dd34b4039f31cc5f47482262c0be316,Automated classification of clustered microcalcifications into malignant and benign types.,10.1118/1.1318221,121
1745574,Nico Karssemeijer,1989,2022,2003,0dba24303682aab3795c1493f5b639bd38d4358d,Analysis of Changes in Masses Using Contrast and Size Measures,10.1007/978-3-642-59327-7_58,11
1745574,Nico Karssemeijer,1989,2022,2016,0dc755ded5e6a44e9ce9ac47bc69aa5573b458f0,Quantification of mammographic masking risk with volumetric breast density maps: how to select women for supplemental screening,10.1117/12.2216810,4
34754023,Henjan Huisman,1992,9999,2022,0de05b444cb65b031f018dc44309dca7f7618a7f,Setting the Research Agenda for Clinical Artificial Intelligence in Pancreatic Adenocarcinoma Imaging,10.3390/cancers14143498,0
34754023,Henjan Huisman,1992,9999,2021,0df7a4f26d57eb58fe628316aa5e84e5ca474ee8,Annotation-efficient cancer detection with report-guided lesion annotation for deep learning-based prostate cancer detection in bpMRI,,3
145441238,Jeroen van der Laak,1991,9999,2023,0e7ef01ded474485f8f715342f18907f451526c5,Fully Automated Tumor Bud Assessment in Hematoxylin and Eosin Stained Whole Slide Images of Colorectal Cancer.,10.1016/j.modpat.2023.100233,0
143613202,Francesco Ciompi,2013,9999,2023,0e7ef01ded474485f8f715342f18907f451526c5,Fully Automated Tumor Bud Assessment in Hematoxylin and Eosin Stained Whole Slide Images of Colorectal Cancer.,10.1016/j.modpat.2023.100233,0
1745574,Nico Karssemeijer,1989,2022,1990,0ea655e5dd94e51e3658e006318844d2524927da,A statistical method for automatic labeling of tissues in medical images,10.1007/BF01212192,7
123637526,Bram van Ginneken,1996,9999,2021,0ebe8ab65571514718283cd2d8ac7277db3513c5,Diffuse idiopathic skeletal hyperostosis is associated with incident stroke in patients with increased cardiovascular risk,10.1093/rheumatology/keab835,2
123637526,Bram van Ginneken,1996,9999,2010,0ee868fc1c16664777ec71bbe38c9ad026e2525a,Modified Chrispin-Norman chest radiography score for cystic fibrosis: observer agreement and correlation with lung function,10.1007/s00330-010-1972-7,13
145441238,Jeroen van der Laak,1991,9999,2006,0f027d3b87f0e04919fecc991261d9c7d6ec5370,Automated magnification calibration in transmission electron microscopy using Fourier analysis of replica images.,10.1016/J.ULTRAMIC.2005.08.001,8
8038506,Bram van Ginneken,1996,9999,2010,0f0313aea2ba0198c5da4b5eff724caecf885e7e,Simulation of Nodules and Diffuse Infiltrates in Chest Radiographs Using CT Templates,10.1007/978-3-642-15745-5_49,3
1745574,Nico Karssemeijer,1989,2022,2007,0f24ca9412671bc21bb3d62c765837877bb19e2d,Importance of comparison of current and prior mammograms in breast cancer screening.,10.1148/RADIOL.2421050684,83
144085811,Clarisa Sanchez,2008,2021,2021,0f27fc10d593859a440c6ccf901d5093f67939bd,Enlargement of Geographic Atrophy From First Diagnosis to End of Life.,10.1001/jamaophthalmol.2021.1407,8
8038506,Bram van Ginneken,1996,9999,2020,0f779d6ca748e8a73a78f2e1dadaba3161e80950,Adversarial Attack Vulnerability of Medical Image Analysis Systems: Unexplored Factors,10.1016/j.media.2021.102141,24
1745574,Nico Karssemeijer,1989,2022,2017,10123038b80006871abc7396810bed15bfa29387,The effect of volumetric breast density on the risk of screen-detected and interval breast cancers: a cohort study,10.1186/s13058-017-0859-9,0
1745574,Nico Karssemeijer,1989,2022,2017,102a580a89b7e9d5a6d8e79864db183d6b5fb6ad,Transfer Learning for Domain Adaptation in MRI: Application in Brain Lesion Segmentation,10.1007/978-3-319-66179-7_59,264
8038506,Bram van Ginneken,1996,9999,2017,102a580a89b7e9d5a6d8e79864db183d6b5fb6ad,Transfer Learning for Domain Adaptation in MRI: Application in Brain Lesion Segmentation,10.1007/978-3-319-66179-7_59,264
