bibkey,type,title,authors,ss_id,all_ss_ids,comment
Anto22,article,The {Medical} {Segmentation} {Decathlon,"Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A. and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M. and van Ginneken, Bram and Bilello, Michel and Bilic, Patrick and Christ, Patrick F. and Do, Richard K. G. and Gollub, Marc J. and Heckers, Stephan H. and Huisman, Henkjan and Jarnagin, William R. and McHugo, Maureen K. and Napel, Sandy and Pernicka, Jennifer S. Golia and Rhode, Kawal and Tobon-Gomez, Catalina and Vorontsov, Eugene and Meakin, James A. and Ourselin, Sebastien and Wiesenfarth, Manuel and Arbelaez, Pablo and Bae, Byeonguk and Chen, Sihong and Daza, Laura and Feng, Jianjiang and He, Baochun and Isensee, Fabian and Ji, Yuanfeng and Jia, Fucang and Kim, Ildoo and Maier-Hein, Klaus and Merhof, Dorit and Pai, Akshay and Park, Beomhee and Perslev, Mathias and Rezaiifar, Ramin and Rippel, Oliver and Sarasua, Ignacio and Shen, Wei and Son, Jaemin and Wachinger, Christian and Wang, Liansheng and Wang, Yan and Xia, Yingda and Xu, Daguang and Xu, Zhanwei and Zheng, Yefeng and Simpson, Amber L. and Maier-Hein, Lena and Cardoso, M. Jorge",979a9f247700d00ff2c3f0612d5eb001379f93c8,"['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26']","multiple doi matches ['979a9f247700d00ff2c3f0612d5eb001379f93c8', 'c397c6f1480ac8e3ed875adad96e9b3e00c37f26'], took the first one with most citations"
Apru19,article,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks,"Aprupe, Lilija and Litjens, Geert and Brinker, Titus J and van der Laak, Jeroen and Grabe, Niels",0c44949334771d4e331d792bc0db77c7fe708ca2,,"title matching: single bibkey, single ss_id"
Arch22,mastersthesis,Automated Abdominal Aortic Aneurysm Detection on CT Scans,Anwai Archit and Bram van Ginneken,,,
Ardu20,conference,Artificial Intelligence for the Classification and Quantification of Reticular Pseudodrusen in Multimodal Retinal Images,"Ardu, Alessandro and Liefers, Bart and de Vente, Coen and Gonz\'{a}lez-Gonzalo, Cristina and Klaver, Caroline and S\'{a}nchez, Clara I.",,,
Ares18,article,iW-Net}: an automatic and minimalistic interactive lung nodule segmentation deep network,Guilherme Aresta and Colin Jacobs and Teresa Ara\'{u}jo and A. Cunha and Isabel Ramos and Bram van Ginneken and A. Campilho,,,
Ares18a,inproceedings,Towards an automatic lung cancer screening system in low dose computed tomography,Guilherme Aresta and Teresa Ara\'{u}jo and Colin Jacobs and Bram van Ginneken and Ant\'{o}nio Cunha and Isabel Ramos and Aur\'{e}lio Campilho,ab99f176fa295a776d6a1fa98d5a5c0156fd4302,,"title matching: single bibkey, single ss_id"
Ares19,article,iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network,"Aresta, Guilherme and Jacobs, Colin and Araujo,Teresa and Cunha, Antonio and Ramos, Isabel and van Ginneken, Bram and Campilho, Aurelio",b3dc561dd990cebc626e10318b8582a198aa3571,,single doi match
Argu19,article,Function Follows Form: Regression from Complete Thoracic Computed Tomography Scans,"Argus, Max and Schaefer-Prokop, Cornelia and Lynch, David A. and van Ginneken, Bram",6425e3f4c37f8deb9e8dc933e34d49aa843635b9,"['6425e3f4c37f8deb9e8dc933e34d49aa843635b9', 'cc7605f2b7e61723f12839fabc1066da0cc8744b']","title matching: single bibkey with multiple_ss_ids (['6425e3f4c37f8deb9e8dc933e34d49aa843635b9', 'cc7605f2b7e61723f12839fabc1066da0cc8744b']), took the first one with most citations"
Arma08,article,Anniversary paper: image processing and manipulation through the pages of {M}edical {P}hysics,S. G. Armato and B. van Ginneken,a2f3a3a2d800b5ebba57a7df9b66865bd190e6a6,"['a2b3e40177c39708de5fa5bb28c224c94bc0e142', 'a2f3a3a2d800b5ebba57a7df9b66865bd190e6a6']","title matching: single bibkey with multiple_ss_ids (['a2b3e40177c39708de5fa5bb28c224c94bc0e142', 'a2f3a3a2d800b5ebba57a7df9b66865bd190e6a6']), took the first one with most citations"
Arma18,article,The PROSTATEx Challenges for Computerized Classification of Prostate Lesions from Multi-Parametric Magnetic Resonance Images,Samuel G. Armato and Henkjan Huisman and Karen Drukker and Lubomir Hadjiiski and Justin S. Kirby and Nicholas Petrick and George Redmond and Maryellen L. Giger and Kenny Cha and Artem Mamonov and Jayashree Kalpathy-Cramer and Keyvan Farahani,86cfa3c1324e704263cd7e39d9bed566c47f556e,,"title matching: single bibkey, single ss_id"
Arnt15,conference,Small vessel disease after stroke at young age: the FUTURE-study,R. Arntz and S. van den Broek and L. Rutten-Jacobs and N. Maaijwee and I. van Uden and M. Ghafoorian and B. Platel and E. van Dijk and F.E. de Leeuw,,,
Arnt16,article,Accelerated development of cerebral small vessel disease in young stroke patients,"Arntz, Renate M and van den Broek, Steffen and van Uden, Inge WM and Ghafoorian, Mohsen and Platel, Bram and Rutten-Jacobs, Loes CA and Maaijwee, Noortje AM and Schaapsmeerders, Pauline and Schoonderwaldt, Hennie C and van Dijk, Ewoud J and de Leeuw, FE",c73a1da11addbc1436980c4a327124bfacc491d3,,"title matching: single bibkey, single ss_id"
Arta09,article,Airway segmentation and analysis for the study of mouse models of lung disease using micro-{CT,X. Artaechevarria and D. P\'{e}rez-Martin and M. Ceresa and G. de Biurrun and D. Blanco and L. M. Montuenga and B. van Ginneken and C. Ortiz-de-Sol\'{o}rzano and A. Mu{\~n}oz-Barrutia,6f8ce3c9888cefd812fc1de939e5f7a73786152e,,"title matching: single bibkey, single ss_id"
Arta09a,inproceedings,Fast murine airway segmentation and reconstruction in {micro-CT} images,X. Artaechevarria and A. Mu{\~n}oz-Barrutia and B. van Ginneken and C. Ortiz-de-Sol\'{o}rzano,d2056f4696e6badb76a795147c1f7fbb07ecf076,,"title matching: single bibkey, single ss_id"
Arzh06,inproceedings,Image classification from generalized image distance features: application to detection of interstitial disease in chest radiographs,"Arzhaeva, Y. and van Ginneken, B. and Tax, D. M. J.",e03a6b506700d339efbf75c7547aa6507ec792ae,,"title matching: single bibkey, single ss_id"
Arzh06a,inproceedings,Improving computer-aided diagnosis of interstitial disease in chest radiographs by combining one-class and two-class classifiers,"Arzhaeva, Y. and Tax, D. M. J. and van Ginneken, B.",a96e8a989d891bf4d8b015397a1c6ebf1cf39012,,"title matching: single bibkey, single ss_id"
Arzh07,article,Computer-aided detection of interstitial abnormalities in chest radiographs using a reference standard based on computed tomography,Y. Arzhaeva and M. Prokop and D. M. J. Tax and P. A. de Jong and C. M. Schaefer-Prokop and B. van Ginneken,7cfbf15d759f47f3a2055e28a455237d279a5c48,"['7cfbf15d759f47f3a2055e28a455237d279a5c48', '9c07ff13ddc83e02c2432b48886cfa9717cc196b']","title matching: single bibkey with multiple_ss_ids (['7cfbf15d759f47f3a2055e28a455237d279a5c48', '9c07ff13ddc83e02c2432b48886cfa9717cc196b']), took the first one with most citations"
Arzh07a,conference,Computer-aided detection of interstitial abnormalities in chest radiographs,Y. Arzhaeva and M. Prokop and P. A. de Jong and C. M. Schaefer-Prokop and B. van Ginneken,,,
Arzh07b,conference,Application of computerized texture analysis of {CT} lung images for estimation of interstitial lung disease progression,Y. Arzhaeva and K. Murphy and M. Prokop and C. M. Schaefer-Prokop and B. van Ginneken,,,
Arzh07c,inproceedings,Automated segmentation of caudate nucleus in {MR} brain images with voxel classification,Y. Arzhaeva and E. M. van Rikxoort and B. van Ginneken,3aed0d4fafa12efe822da4f3614caa46da2cbcf1,,"title matching: single bibkey, single ss_id"
Arzh09,article,Dissimilarity-based classification in the absence of local ground truth: application to the diagnostic interpretation of chest radiographs,Y. Arzhaeva and D. M. J. Tax and B. van Ginneken,445c06e086a985f3b08982ec6cc126bd92e40d11,,"title matching: single bibkey, single ss_id"
Arzh09b,inproceedings,Global and {L}ocal {M}ulti-valued {D}issimilarity-{B}ased {C}lassification: {A}pplication to {C}omputer-{A}ided {D}etection of {T}uberculosis,Y. Arzhaeva and L. Hogeweg and P. A. de Jong and M. A. Viergever and B. van Ginneken,e007b22f9cd225c0831cafe69b2074c5ca2a6da1,,"title matching: single bibkey, single ss_id"
Arzh09c,phdthesis,Computer-aided detection and quantification of interstitial lung disease from computed tomography and chest radiography,Y. Arzhaeva,,,
Arzh10,article,Automated estimation of progression of interstitial lung disease in {CT} images,Y. Arzhaeva and M. Prokop and K. Murphy and E. M. van Rikxoort and P. A. de Jong and H. A. Gietema and M. A. Viergever and B. van Ginneken,e9a1022bef95937ea3a55df1ea1d5fd3aec2ebf5,,"title matching: single bibkey, single ss_id"
Aswo19,conference,Potential of an AI-based digital biomarker to predict neoadjuvant chemotherapy response from preoperative biopsies of Luminal-B breast cancer,"Aswolinskiy, W. AND Horlings, H. AND Mulder, L. AND van der Laak, J. AND Wesseling, J. AND Lips, E. AND Ciompi, F.",,,
Aswo21,inproceedings,Neural image compression for non-small cell lung cancer subtype classification in H&E stained whole-slide images,Witali Aswolinskiy and David Tellez and Gabriel Raya and Lieke van der Woude and Monika Looijen-Salamon and Jeroen van der Laak and Katrien Grunberg and Francesco Ciompi,6b71ee48bb52c6aab084e7325669e0116dda292b,,"title matching: single bibkey, single ss_id"
Avoi13,inproceedings,A Hardware Implementation of a Levelset Algorithm for Carotid Lumen Segmentation in {CTA,"van der Avoird, Andre and Lin, Ning and van Ginneken, Bram and Manniesing, Rashindra",cbbe7f568d45425dc6410a27c56468f9fdfefab1,,"title matching: single bibkey, single ss_id"
Ayat20,article,Differentiating Benign and Malignant Mass and non-Mass Lesions in Breast {DCE-MRI} using Normalized Frequency-based Features,"Ayatollahi, Fazael and Shokouhi, Shahriar B. and Teuwen, Jonas",f435c3f782e98246413f30adcf8f78899650d23f,,"title matching: single bibkey, single ss_id"
Bagu18,mastersthesis,Reference Tissue Normalization of Prostate MRI with automatic Multi-Organ Deep Learning Pelvis segmentation,Ines Correia Bagulho,,,
Baid18,article,Evaluating the benefits of digital pathology implementation: time savings in laboratory logistics,"Baidoshvili, Alexi and Bucur, Anca and van Leeuwen, Jasper and van der Laak, Jeroen and Kluin, Philip and van Diest, Paul J.",c549a002b6c2d5849674288cdf82bc2b2c0629d7,,"title matching: single bibkey, single ss_id"
Baid18a,article,Validation of a whole-slide image-based teleconsultation network,"Baidoshvili, Alexi and Stathonikos, Nikolas and Freling, Gerard and Bart, Jos and 't Hart, Nils and van der Laak, Jeroen and Doff, Jan and van der Vegt, Bert and Kluin Philip, M. and van Dies, Paul J.",4c56dbeda2cb93aadcc8e5c697ccb6f44283799b,,"title matching: single bibkey, single ss_id"
Bakk19,article,Supplemental MRI Screening for Women with Extremely Dense Breast Tissue,"Bakker, Marije F and de Lange, Stephanie V and Pijnappel, Ruud M and Mann, Ritse M and Peeters, Petra H M and Monninkhof, Evelyn M and Emaus, Marleen J and Loo, Claudette E and Bisschops, Robertus H C and Lobbes, Marc B I and de Jong, Matthijn D F and Duvivier, Katya M and Veltman, Jeroen and Karssemeijer, Nico and de Koning, Harry J and van Diest, Paul J and Mali, Willem P T M and van den Bosch, Maurice A A J and Veldhuis, Wouter B and van Gils, Carla H and DENSE Trial Study Group",60ba4be07cc7c44df3c4baf8ceece4b460bdb774,,"title matching: single bibkey, single ss_id"
Bala05,article,Flat-panel display ({LCD}) versus high-resolution gray-scale display ({CRT}) for chest radiography: an observer preference study,"Balassy, Csilla and Prokop, Mathias and Weber, Michael and Sailer, Johannes and Herold, Christian J. and Schaefer-Prokop, Cornelia",,,
Balk19,article,Deep learning and manual assessment show that the absolute mitotic count does not contain prognostic information in triple negative breast cancer,"Balkenhol, Maschenka C A and Bult, Peter and Tellez, David and Vreuls, Willem and Clahsen, Pieter C and Ciompi, Francesco and van der Laak, Jeroen A W M",94962ef85aca6df5c8289874b56bcaa8722dc596,"['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596']","title matching: single bibkey with multiple_ss_ids (['91bcebba717670d740ef76097a0885a0bd3c9dde', '94962ef85aca6df5c8289874b56bcaa8722dc596']), took the first one with most citations"
Balk19b,article,Deep learning assisted mitotic counting for breast cancer,"Balkenhol, Maschenka C A and Tellez, David and Vreuls, Willem and Clahsen, Pieter C and Pinckaers, Hans and Ciompi, Francesco and Bult, Peter and van der Laak, Jeroen A W M",66f70286594b27928fb0eea3b4a0f292261c292f,,"title matching: single bibkey, single ss_id"
Balk20,article,Histological subtypes in triple negative breast cancer are associated with specific information on survival,"Balkenhol, Maschenka C A and Vreuls, Willem and Wauters, Carla A P and Mol, Suzanne J J and van der Laak, Jeroen A W M and Bult, Peter",2c00230262e1e99862ab27743b725e222a74dcca,,"title matching: single bibkey, single ss_id"
Balk20a,phdthesis,Tissue-based biomarker assessment for predicting prognosis of triple negative breast cancer: the additional value of artificial intelligence,Maschenka C. A. Balkenhol,,,
Balk20b,conference,Deep learning enables fully automated mitotic density assessment in breast cancer histopathology,M. Balkenhol and P. Bult and D. Tellez and W. Vreuls and P. Clahsen and F. Ciompi and J. Van der Laak,bd6954422d3582093d26b76ac743991219c91351,,"title matching: single bibkey, single ss_id"
Balk21,article,Optimized tumour infiltrating lymphocyte assessment for triple negative breast cancer prognostics.,"Balkenhol, Maschenka Ca and Ciompi, Francesco and Swiderska-Chadaj, Zaneta and van de Loo, Rob and Intezar, Milad and Otte-Holler, Irene and Geijs, Daan and Lotz, Johannes and Weiss, Nick and de Bel, Thomas and Litjens, Geert and Bult, Peter and van der Laak, Jeroen Awm",25890a20503e79f773f427c999fcb41387f0aab1,,"title matching: single bibkey, single ss_id"
Balo11,inproceedings,Combining Growcut and temporal correlation for IVUS lumen segmentation,"Balocco, Simone and Gatta, Carlo and Ciompi, Francesco and Pujol, Oriol and Carrillo, Xavier and Mauri, Josepa and Radeva, Petia",,,
Balo13,article,Standardized evaluation methodology and reference database for evaluating IVUS image segmentation,"Balocco, Simone and Gatta, Carlo and Ciompi, Francesco and Wahle, Andreas and Radeva, Petia and Carlier, Stephane and Unal, Gozde and Sanidas, Elias and Mauri, Josepa and Carillo, Xavier and Kovarnik, Tomas and Wang, Ching-Wei and Chen, Hsiang-Chou and Exarchos, Themis P. and Fotiadis, Dimitrios I. and Destrempes, FranAfASSois and Cloutier, Guy and Pujol, Oriol and Alberti, Marina and Mendizabal-Ruiz, E Gerardo and Rivera, Mariano and Aksoy, Timur and Downe, Richard W. and Kakadiaris, Ioannis A.",972277db9e143c093e366d8ae1b81e5a89080125,,"title matching: single bibkey, single ss_id"
Balo18,article,Assessment Of Intra-coronary Stent Location And Extension In Intravascular Ultrasound Sequences,"Balocco, Simone and Ciompi, Francesco and Rigla, Juan and Carrillo, Xavier and Mauri, Josepa and Radeva, Petia",3a3664f9b7e6c4258d9dc282c9c43a95054c648e,,"title matching: single bibkey, single ss_id"
Balt18,article,A model observer study using acquired mammographic images of an anthropomorphic breast phantom,"Balta, Christiana and Bouwman, Ramona W and Sechopoulos, Ioannis and Broeders, Mireille J M and Karssemeijer, Nico and van Engen, Ruben E and Veldkamp, Wouter J H",393450e398ef7775bd9a0300974d1e31636b5a26,,"title matching: single bibkey, single ss_id"
Balt19b,article,Optimization of the difference-of-Gaussian channel sets for the channelized Hotelling observer,"Balta, Christiana and Bouwman, Ramona W and Broeders, Mireille JM and Karssemeijer, Nico and Veldkamp, Wouter JH and Sechopoulos, Ioannis and van Engen, Ruben E",f131ef217543d179269018950bf3b6ba2b30f3b1,"['20fe29e553477d9bd330f052e4d01c0c1c616b22', 'f131ef217543d179269018950bf3b6ba2b30f3b1']","title matching: single bibkey with multiple_ss_ids (['20fe29e553477d9bd330f052e4d01c0c1c616b22', 'f131ef217543d179269018950bf3b6ba2b30f3b1']), took the first one with most citations"
Balt19c,phdthesis,Objective image quality assessment in X-ray breast imaging,Christiana Balta,,,
Band17,inproceedings,Comparison of Different Methods for Tissue Segmentation In Histopathological Whole-Slide Images,P\'{e}ter B\'{a}ndi and Rob {van de Loo} and Milad Intezar and Daan Geijs and Francesco Ciompi and Bram {van Ginneken} and Jeroen {van der Laak} and Geert Litjens,418354adcafbc948c266c55564feb5b12cc3dc21,,"title matching: single bibkey, single ss_id"
Band18,article,From detection of individual metastases to classification of lymph node status at the patient level: the {CAMELYON}17 challenge,P\'{e}ter B\'{a}ndi and Oscar Geessink and Quirine Manson and Marcory van Dijk and Maschenka Balkenhol and Meyke Hermsen and Babak Ehteshami Bejnordi and Byungjae Lee and Kyunghyun Paeng and Aoxiao Zhong and Quanzheng Li and Farhad Ghazvinian Zanjani and Svitlana Zinger and Keisuke Fukuta and Daisuke Komura and Vlado Ovtcharov and Shenghua Cheng and Shaoqun Zeng and Jeppe Thagaard and Anders B. Dahl and Huangjing Lin and Hao Chen and Ludwig Jacobsson and Martin Hedlund and Melih Cetin and Eren Halici and Hunter Jackson and Richard Chen and Fabian Both and Jorg Franke and Heidi Kusters-Vandevelde and Willem Vreuls and Peter Bult and Bram van Ginneken and Jeroen van der Laak and Geert Litjens,1b27b9cfe0ce17950b6ea72f9ef8cf5a7459bccd,,"title matching: single bibkey, single ss_id"
Band19a,article,Resolution-agnostic tissue segmentation in whole-slide histopathology images with convolutional neural networks,"B\'{a}ndi, P. and Balkenhol, Maschenka and van Ginneken, Bram and van der Laak, Jeroen and Litjens, Geert",e1170679c6b5fe0addb40cfb62076979a3b3ebec,,"title matching: single bibkey, single ss_id"
Band23,article,Continual learning strategies for cancer-independent detection of lymph node metastases,"B\'{a}ndi, P. and Balkenhol, Maschenka and van Dijk, Marcory and Kok, Michel and van Ginneken, Bram and van der Laak, Jeroen and Litjens, Geert",4bcd672218ecec70473c84f6f1cc52c64031f3e5,"['4bcd672218ecec70473c84f6f1cc52c64031f3e5', 'bc6b483f9b1fa630fa4b43158b13716f1ca7497b']","title matching: single bibkey with multiple_ss_ids (['4bcd672218ecec70473c84f6f1cc52c64031f3e5', 'bc6b483f9b1fa630fa4b43158b13716f1ca7497b']), took the first one with most citations"
Bank07,article,Air trapping: comparison of standard-dose and simulated low-dose thin-section {CT} techniques,Alexander A Bankier and Cornelia Schaefer-Prokop and Viviane De Maertelaer and Denis Tack and Peter Jaksch and Walter Klepetko and Pierre Alain Gevenois,,,
Bare96,article,Staging urinary bladder cancer after transurethral biopsy: value of fast dynamic contrast-enhanced {MR} imaging,J. O. Barentsz and G. J. Jager and P. B. van Vierzen and J. A. Witjes and S. P. Strijk and H. Peters and N. Karssemeijer and S. H. Ruijs,328a63a444a23693caa473d92e726efc1503c680,,"title matching: single bibkey, single ss_id"
Bare99,article,Fast dynamic gadolinium-enhanced {MR} imaging of urinary bladder and prostate cancer,"Barentsz, J. O. and Engelbrecht, M. and Jager, G. J. and Witjes, J. A. and de LaRosette, J. and van Der Sanden, B. P. and Huisman, H. J. and Heerschap, A.",46b888d39bbf82a9ff78a5bfb581b4ded6df46bc,,"title matching: single bibkey, single ss_id"
